"기준년","대업종","중업종","규모","지방관서","지역","공사규모","사업장수","근로자수"
2022,0,000,11,2000,01,J,248,440
2022,0,000,11,2000,01,J,470,756
2022,0,000,11,2000,01,J,513,828
2022,0,000,11,2000,01,J,84,134
2022,0,000,11,2010,01,J,1216,2053
2022,0,000,11,2020,01,J,103,153
2022,0,000,11,2020,01,J,126,201
2022,0,000,11,2020,01,J,260,381
2022,0,000,11,2020,01,J,5,2
2022,0,000,11,2020,01,J,67,114
2022,0,000,11,2030,01,J,132,243
2022,0,000,11,2030,01,J,233,362
2022,0,000,11,2030,01,J,35,49
2022,0,000,11,2030,01,J,71,122
2022,0,000,11,2040,01,J,200,324
2022,0,000,11,2040,01,J,47,57
2022,0,000,11,2040,01,J,736,1259
2022,0,000,11,2050,01,J,44,64
2022,0,000,11,2050,01,J,48,87
2022,0,000,11,2050,01,J,54,95
2022,0,000,11,2050,01,J,60,80
2022,0,000,11,2050,01,J,94,144
2022,0,000,11,2060,01,J,1,1
2022,0,000,11,2060,01,J,129,220
2022,0,000,11,2060,01,J,166,260
2022,0,000,11,2060,01,J,61,83
2022,0,000,11,2060,01,J,62,108
2022,0,000,11,2070,09,J,10,17
2022,0,000,11,2070,09,J,128,228
2022,0,000,11,2070,09,J,16,24
2022,0,000,11,2070,09,J,16,33
2022,0,000,11,2070,09,J,19,25
2022,0,000,11,2070,09,J,50,84
2022,0,000,11,2070,09,J,59,98
2022,0,000,11,2070,09,J,7,15
2022,0,000,11,2110,08,J,10,13
2022,0,000,11,2110,08,J,2,2
2022,0,000,11,2110,08,J,21,37
2022,0,000,11,2110,08,J,5,11
2022,0,000,11,2110,08,J,51,116
2022,0,000,11,2110,08,J,6,10
2022,0,000,11,2120,08,J,13,23
2022,0,000,11,2120,08,J,13,27
2022,0,000,11,2130,08,J,14,36
2022,0,000,11,2130,08,J,22,49
2022,0,000,11,2130,08,J,38,90
2022,0,000,11,2130,08,J,65,136
2022,0,000,11,2130,08,J,7,14
2022,0,000,11,2140,08,J,2,8
2022,0,000,11,2140,08,J,85,155
2022,0,000,11,2150,08,J,11,8
2022,0,000,11,2150,08,J,5,10
2022,0,000,11,2150,08,J,7,10
2022,0,000,11,3000,02,J,135,241
2022,0,000,11,3000,02,J,14,31
2022,0,000,11,3000,02,J,178,337
2022,0,000,11,3000,02,J,301,607
2022,0,000,11,3000,02,J,36,95
2022,0,000,11,3000,02,J,37,67
2022,0,000,11,3000,02,J,5,14
2022,0,000,11,3000,02,J,95,226
2022,0,000,11,3010,02,J,21,32
2022,0,000,11,3010,02,J,22,55
2022,0,000,11,3010,02,J,35,52
2022,0,000,11,3010,02,J,43,59
2022,0,000,11,3010,02,J,71,101
2022,0,000,11,3020,02,J,14,29
2022,0,000,11,3020,02,J,26,60
2022,0,000,11,3020,02,J,32,68
2022,0,000,11,3110,13,J,115,190
2022,0,000,11,3110,13,J,17,40
2022,0,000,11,3110,13,J,18,39
2022,0,000,11,3110,13,J,47,97
2022,0,000,11,3110,13,J,55,139
2022,0,000,11,3110,13,J,74,139
2022,0,000,11,3110,13,J,8,21
2022,0,000,11,3110,13,J,9,19
2022,0,000,11,3120,07,J,160,292
2022,0,000,11,3120,07,J,17,31
2022,0,000,11,3120,07,J,17,36
2022,0,000,11,3120,07,J,20,32
2022,0,000,11,3120,07,J,20,37
2022,0,000,11,3130,13,J,27,64
2022,0,000,11,3130,13,J,43,97
2022,0,000,11,3130,13,J,77,140
2022,0,000,11,3140,13,J,11,22
2022,0,000,11,3140,13,J,132,240
2022,0,000,11,3140,13,J,19,39
2022,0,000,11,3140,13,J,20,44
2022,0,000,11,3140,13,J,28,56
2022,0,000,11,3140,13,J,5,12
2022,0,000,11,3140,13,J,6,13
2022,0,000,11,3140,13,J,7,15
2022,0,000,11,3150,13,J,10,13
2022,0,000,11,3150,13,J,32,62
2022,0,000,11,3150,13,J,35,53
2022,0,000,11,4000,03,J,11,26
2022,0,000,11,4000,03,J,129,199
2022,0,000,11,4000,03,J,157,285
2022,0,000,11,4000,03,J,21,47
2022,0,000,11,4000,03,J,35,73
2022,0,000,11,4000,03,J,4,10
2022,0,000,11,4000,03,J,49,98
2022,0,000,11,4000,03,J,68,143
2022,0,000,11,4010,03,J,106,161
2022,0,000,11,4010,03,J,17,28
2022,0,000,11,4010,03,J,17,35
2022,0,000,11,4010,03,J,24,63
2022,0,000,11,4010,03,J,29,45
2022,0,000,11,4010,03,J,36,69
2022,0,000,11,4010,03,J,9,13
2022,0,000,11,4110,12,J,12,23
2022,0,000,11,4110,12,J,17,31
2022,0,000,11,4110,12,J,35,86
2022,0,000,11,4110,12,J,4,9
2022,0,000,11,4110,12,J,53,116
2022,0,000,11,4110,12,J,75,145
2022,0,000,11,4120,12,J,40,83
2022,0,000,11,4120,12,J,99,190
2022,0,000,11,4130,12,J,10,19
2022,0,000,11,4130,12,J,22,40
2022,0,000,11,4130,12,J,23,40
2022,0,000,11,4130,12,J,36,78
2022,0,000,11,4140,12,J,13,28
2022,0,000,11,4140,12,J,16,32
2022,0,000,11,4140,12,J,3,8
2022,0,000,11,4140,12,J,60,136
2022,0,000,11,4140,12,J,7,18
2022,0,000,11,5000,04,J,1,3
2022,0,000,11,5000,04,J,11,17
2022,0,000,11,5000,04,J,160,256
2022,0,000,11,5000,04,J,20,35
2022,0,000,11,5000,04,J,66,109
2022,0,000,11,5000,04,J,90,155
2022,0,000,11,5010,04,J,135,275
2022,0,000,11,5010,04,J,39,68
2022,0,000,11,5010,04,J,45,86
2022,0,000,11,5010,04,J,8,20
2022,0,000,11,5110,09,J,114,201
2022,0,000,11,5110,09,J,18,26
2022,0,000,11,5110,09,J,23,39
2022,0,000,11,5110,09,J,23,51
2022,0,000,11,5110,09,J,51,87
2022,0,000,11,5110,09,J,60,102
2022,0,000,11,5110,09,J,63,98
2022,0,000,11,5110,09,J,89,137
2022,0,000,11,5120,09,J,218,341
2022,0,000,11,5120,09,J,67,97
2022,0,000,11,5130,09,J,12,22
2022,0,000,11,5130,09,J,129,228
2022,0,000,11,5130,09,J,27,55
2022,0,000,11,5130,09,J,58,110
2022,0,000,11,5130,09,J,7,9
2022,0,000,11,5130,09,J,81,151
2022,0,000,11,5140,09,J,129,236
2022,0,000,11,5140,09,J,14,22
2022,0,000,11,5140,09,J,60,124
2022,0,000,11,5160,09,J,10,10
2022,0,000,11,5160,09,J,14,15
2022,0,000,11,5160,09,J,169,285
2022,0,000,11,5160,09,J,22,36
2022,0,000,11,5160,09,J,28,42
2022,0,000,11,5160,09,J,30,56
2022,0,000,11,5160,09,J,48,86
2022,0,000,11,5160,09,J,59,100
2022,0,000,11,5170,09,J,13,24
2022,0,000,11,5170,09,J,19,29
2022,0,000,11,5170,09,J,2,4
2022,0,000,11,5170,09,J,77,117
2022,0,000,11,5180,09,J,116,164
2022,0,000,11,5180,09,J,50,85
2022,0,000,11,5180,09,J,51,81
2022,0,000,11,5180,09,J,62,84
2022,0,000,11,6000,05,J,10,18
2022,0,000,11,6000,05,J,11,19
2022,0,000,11,6000,05,J,209,329
2022,0,000,11,6000,05,J,23,56
2022,0,000,11,6000,05,J,30,48
2022,0,000,11,6000,05,J,35,49
2022,0,000,11,6000,05,J,4,3
2022,0,000,11,6000,05,J,4,6
2022,0,000,11,6000,05,J,6,11
2022,0,000,11,6000,05,J,79,134
2022,0,000,11,6000,05,J,8,17
2022,0,000,11,6000,05,J,9,21
2022,0,000,11,6000,05,J,92,159
2022,0,000,11,6110,14,J,10,24
2022,0,000,11,6110,14,J,146,284
2022,0,000,11,6110,14,J,16,38
2022,0,000,11,6110,14,J,29,65
2022,0,000,11,6110,14,J,6,13
2022,0,000,11,6110,14,J,6,13
2022,0,000,11,6110,14,J,7,22
2022,0,000,11,6110,14,J,7,22
2022,0,000,11,6110,14,J,77,178
2022,0,000,11,6110,14,J,9,25
2022,0,000,11,6120,14,J,66,140
2022,0,000,11,6120,14,J,7,12
2022,0,000,11,6130,14,J,11,23
2022,0,000,11,6130,14,J,15,39
2022,0,000,11,6130,14,J,73,173
2022,0,000,11,6210,15,J,10,28
2022,0,000,11,6210,15,J,11,19
2022,0,000,11,6210,15,J,12,22
2022,0,000,11,6210,15,J,14,38
2022,0,000,11,6210,15,J,22,32
2022,0,000,11,6210,15,J,26,32
2022,0,000,11,6210,15,J,4,8
2022,0,000,11,6210,15,J,7,7
2022,0,000,11,6210,15,J,92,89
2022,0,000,11,6220,15,J,11,29
2022,0,000,11,6220,15,J,29,61
2022,0,000,11,6220,15,J,64,135
2022,0,000,11,6220,15,J,74,147
2022,0,000,11,6220,15,J,8,19
2022,0,000,11,6310,16,J,158,313
2022,0,000,11,6310,16,J,35,78
2022,0,000,11,7000,06,J,104,202
2022,0,000,11,7000,06,J,18,37
2022,0,000,11,7000,06,J,19,33
2022,0,000,11,7000,06,J,20,44
2022,0,000,11,7000,06,J,249,423
