"기준년","대업종","중업종","규모","지방관서","지역","공사규모","사업장수","근로자수"
2021,0,000,11,2000,01,J,252,456
2021,0,000,11,2000,01,J,479,747
2021,0,000,11,2000,01,J,533,803
2021,0,000,11,2000,01,J,81,125
2021,0,000,11,2010,01,J,1198,1999
2021,0,000,11,2020,01,J,1,1
2021,0,000,11,2020,01,J,121,198
2021,0,000,11,2020,01,J,123,190
2021,0,000,11,2020,01,J,280,387
2021,0,000,11,2020,01,J,84,140
2021,0,000,11,2030,01,J,126,234
2021,0,000,11,2030,01,J,272,408
2021,0,000,11,2030,01,J,37,57
2021,0,000,11,2030,01,J,76,126
2021,0,000,11,2040,01,J,209,326
2021,0,000,11,2040,01,J,51,62
2021,0,000,11,2040,01,J,672,1079
2021,0,000,11,2050,01,J,44,57
2021,0,000,11,2050,01,J,53,79
2021,0,000,11,2050,01,J,56,90
2021,0,000,11,2050,01,J,61,77
2021,0,000,11,2050,01,J,89,143
2021,0,000,11,2060,01,J,126,198
2021,0,000,11,2060,01,J,179,272
2021,0,000,11,2060,01,J,62,109
2021,0,000,11,2060,01,J,66,82
2021,0,000,11,2070,09,J,10,17
2021,0,000,11,2070,09,J,130,225
2021,0,000,11,2070,09,J,14,23
2021,0,000,11,2070,09,J,16,20
2021,0,000,11,2070,09,J,18,38
2021,0,000,11,2070,09,J,44,84
2021,0,000,11,2070,09,J,56,91
2021,0,000,11,2070,09,J,9,18
2021,0,000,11,2110,08,J,10,12
2021,0,000,11,2110,08,J,18,27
2021,0,000,11,2110,08,J,2,2
2021,0,000,11,2110,08,J,5,11
2021,0,000,11,2110,08,J,50,106
2021,0,000,11,2110,08,J,6,10
2021,0,000,11,2120,08,J,11,19
2021,0,000,11,2120,08,J,13,27
2021,0,000,11,2130,08,J,15,37
2021,0,000,11,2130,08,J,25,53
2021,0,000,11,2130,08,J,39,93
2021,0,000,11,2130,08,J,7,14
2021,0,000,11,2130,08,J,70,150
2021,0,000,11,2140,08,J,2,8
2021,0,000,11,2140,08,J,81,142
2021,0,000,11,2150,08,J,12,8
2021,0,000,11,2150,08,J,4,6
2021,0,000,11,2150,08,J,7,10
2021,0,000,11,3000,02,J,137,241
2021,0,000,11,3000,02,J,15,32
2021,0,000,11,3000,02,J,184,347
2021,0,000,11,3000,02,J,321,633
2021,0,000,11,3000,02,J,35,94
2021,0,000,11,3000,02,J,36,60
2021,0,000,11,3000,02,J,5,12
2021,0,000,11,3000,02,J,89,211
2021,0,000,11,3010,02,J,1,1
2021,0,000,11,3010,02,J,18,48
2021,0,000,11,3010,02,J,19,34
2021,0,000,11,3010,02,J,30,39
2021,0,000,11,3010,02,J,48,61
2021,0,000,11,3010,02,J,76,105
2021,0,000,11,3020,02,J,14,27
2021,0,000,11,3020,02,J,31,72
2021,0,000,11,3020,02,J,32,62
2021,0,000,11,3110,13,J,10,23
2021,0,000,11,3110,13,J,108,181
2021,0,000,11,3110,13,J,17,40
2021,0,000,11,3110,13,J,18,38
2021,0,000,11,3110,13,J,43,92
2021,0,000,11,3110,13,J,54,136
2021,0,000,11,3110,13,J,74,137
2021,0,000,11,3110,13,J,8,21
2021,0,000,11,3120,07,J,16,28
2021,0,000,11,3120,07,J,162,285
2021,0,000,11,3120,07,J,17,29
2021,0,000,11,3120,07,J,17,31
2021,0,000,11,3120,07,J,19,37
2021,0,000,11,3130,13,J,26,61
2021,0,000,11,3130,13,J,43,95
2021,0,000,11,3130,13,J,74,128
2021,0,000,11,3140,13,J,11,21
2021,0,000,11,3140,13,J,130,232
2021,0,000,11,3140,13,J,19,36
2021,0,000,11,3140,13,J,20,42
2021,0,000,11,3140,13,J,28,57
2021,0,000,11,3140,13,J,5,11
2021,0,000,11,3140,13,J,6,13
2021,0,000,11,3140,13,J,6,14
2021,0,000,11,3150,13,J,10,13
2021,0,000,11,3150,13,J,32,46
2021,0,000,11,3150,13,J,33,64
2021,0,000,11,4000,03,J,11,26
2021,0,000,11,4000,03,J,127,197
2021,0,000,11,4000,03,J,174,305
2021,0,000,11,4000,03,J,21,45
2021,0,000,11,4000,03,J,34,69
2021,0,000,11,4000,03,J,4,10
2021,0,000,11,4000,03,J,51,103
2021,0,000,11,4000,03,J,68,140
2021,0,000,11,4010,03,J,112,162
2021,0,000,11,4010,03,J,17,28
2021,0,000,11,4010,03,J,18,37
2021,0,000,11,4010,03,J,22,60
2021,0,000,11,4010,03,J,27,40
2021,0,000,11,4010,03,J,42,82
2021,0,000,11,4010,03,J,8,10
2021,0,000,11,4110,12,J,13,23
2021,0,000,11,4110,12,J,17,34
2021,0,000,11,4110,12,J,37,92
2021,0,000,11,4110,12,J,4,9
