"반기별(1)","성별(1)",2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"반기별(1)","성별(1)",합계,15~29세,30~49세,50~64세,65세이상,합계,15~29세,30~49세,50~64세,65세이상,합계,15~29세,30~49세,50~64세,65세이상,합계,15~29세,30~49세,50~64세,65세이상,합계,15~29세,30~49세,50~64세,65세이상
"상반기","계",372.5,66.8,180.7,104.9,20.1,371.5,62.2,181.4,105.1,22.8,371.2,60.8,179.1,107.7,23.6,378.3,62.1,175.4,111.9,28.9,375.8,62.5,175.1,110.5,27.7
"하반기","계",376.0,67.1,180.9,106.0,22.0,377.3,64.4,182.4,108.4,22.1,377.7,62.3,180.2,108.3,26.9,385.1,64.0,181.4,106.8,32.9,381.1,61.8,177.8,113.2,28.3
